temp,temp_min,temp_max,description,time,batched_date
29,24.41,29,mây đen u ám,14/10/2022 12:00,14/10/2022 12:00
26.91,22.73,26.91,mây đen u ám,14/10/2022 15:00,14/10/2022 12:00
23.99,21.49,23.99,mây đen u ám,14/10/2022 18:00,14/10/2022 12:00
20.93,20.93,20.93,mây đen u ám,14/10/2022 21:00,14/10/2022 12:00
21.07,21.07,21.07,mây đen u ám,15/10/2022 00:00,14/10/2022 12:00
22.57,22.57,22.57,mây đen u ám,15/10/2022 03:00,14/10/2022 12:00
29.1,29.1,29.1,mây đen u ám,15/10/2022 06:00,14/10/2022 12:00
29.48,29.48,29.48,mây cụm,15/10/2022 09:00,14/10/2022 12:00
24.72,24.72,24.72,mây rải rác,15/10/2022 12:00,14/10/2022 12:00
23.26,23.26,23.26,mây cụm,15/10/2022 15:00,14/10/2022 12:00
22.04,22.04,22.04,mây cụm,15/10/2022 18:00,14/10/2022 12:00
20.64,20.64,20.64,mây cụm,15/10/2022 21:00,14/10/2022 12:00
20.96,20.96,20.96,mây cụm,16/10/2022 00:00,14/10/2022 12:00
28.21,28.21,28.21,mây rải rác,16/10/2022 03:00,14/10/2022 12:00
31.39,31.39,31.39,mây thưa,16/10/2022 06:00,14/10/2022 12:00
31.27,31.27,31.27,mây thưa,16/10/2022 09:00,14/10/2022 12:00
25.44,25.44,25.44,mây thưa,16/10/2022 12:00,14/10/2022 12:00
24.21,24.21,24.21,bầu trời quang đãng,16/10/2022 15:00,14/10/2022 12:00
22.7,22.7,22.7,mây thưa,16/10/2022 18:00,14/10/2022 12:00
21.51,21.51,21.51,mây rải rác,16/10/2022 21:00,14/10/2022 12:00
21.81,21.81,21.81,mây rải rác,17/10/2022 00:00,14/10/2022 12:00
28.7,28.7,28.7,mây cụm,17/10/2022 03:00,14/10/2022 12:00
31.26,31.26,31.26,mây cụm,17/10/2022 06:00,14/10/2022 12:00
31.01,31.01,31.01,mây cụm,17/10/2022 09:00,14/10/2022 12:00
26.71,26.71,26.71,mây cụm,17/10/2022 12:00,14/10/2022 12:00
24.33,24.33,24.33,mây cụm,17/10/2022 15:00,14/10/2022 12:00
22.39,22.39,22.39,mây rải rác,17/10/2022 18:00,14/10/2022 12:00
21.45,21.45,21.45,mây cụm,17/10/2022 21:00,14/10/2022 12:00
21.69,21.69,21.69,mây cụm,18/10/2022 00:00,14/10/2022 12:00
27.31,27.31,27.31,mây đen u ám,18/10/2022 03:00,14/10/2022 12:00
29.87,29.87,29.87,mây cụm,18/10/2022 06:00,14/10/2022 12:00
29.6,29.6,29.6,mây rải rác,18/10/2022 09:00,14/10/2022 12:00
23.89,23.89,23.89,mây cụm,18/10/2022 12:00,14/10/2022 12:00
22.88,22.88,22.88,mây thưa,18/10/2022 15:00,14/10/2022 12:00
20.72,20.72,20.72,mây rải rác,18/10/2022 18:00,14/10/2022 12:00
19.37,19.37,19.37,mây đen u ám,18/10/2022 21:00,14/10/2022 12:00
19.36,19.36,19.36,mây đen u ám,19/10/2022 00:00,14/10/2022 12:00
25.81,25.81,25.81,mây cụm,19/10/2022 03:00,14/10/2022 12:00
28.93,28.93,28.93,mây cụm,19/10/2022 06:00,14/10/2022 12:00
28.87,28.87,28.87,bầu trời quang đãng,19/10/2022 09:00,14/10/2022 12:00
